COPS8|NM_006710
NDUFA10|NM_001322020
NDUFA10|NM_001322019
THAP4|NM_001164356
THAP4|NM_015963
SETD5|NM_001080517
TATDN2|NM_014760
SEC13|NM_001136232
SEC13|NM_001136026
SEC13|NM_001278946
RPL32|NM_001007074
RPL32|NM_000994
RPL32|NM_001007073
XPC|NM_001354727
XPC|NM_001354730
LSM3|NM_014463
MRPS25|NM_022497
RAB5A|NM_001292048
RAB5A|NM_004162
UBE2E1|NM_182666
UBE2E1|NM_001202476
MLH1|NM_001354623
MLH1|NM_000249
SLC25A38|NM_017875
EIF1B|NM_005875
CTNNB1|NM_001904
SS18L2|NM_016305
SS18L2|NM_001370300
HIGD1A|NM_001099668
HIGD1A|NM_014056
HIGD1A|NM_001099669
SCAP|NM_012235
DHX30|NM_001330990
DHX30|NM_138615
WDR6|NM_018031
WDR6|NM_001320547
QRICH1|NM_001320583
QRICH1|NM_198880
QRICH1|NM_017730
USP4|NM_003363
RHOA|NM_001664
RBM5|NM_005778
RBM15B|NM_013286
NISCH|NM_007184
GNL3|NM_206825
GNL3|NM_014366
SPCS1|NM_014041
CGGBP1|NM_003663
CGGBP1|NM_001008390
CGGBP1|NM_001195308
TFG|NM_001007565
TFG|NM_001195479
TFG|NM_006070
TFG|NM_001195478
ABHD10|NM_018394
NDUFB4|NM_001168331
SLC41A3|NM_001008487
SLC41A3|NM_001008485
SLC41A3|NM_001164475
SEC61A1|NM_013336
RPN1|NM_002950
RAB7A|NM_004637
ACAD9|NM_014049
CNBP|NM_001127192
MRPL3|NM_007208
SRPRB|NM_021203
SRPRB|NM_001379313
ANAPC13|NM_015391
ANAPC13|NM_001242375
ANAPC13|NM_001242374
MRPS22|NM_001363893
MRPS22|NM_020191
MRPS22|NM_001363857
COPB2|NM_004766
EIF2A|NM_001319045
EIF2A|NM_032025
CCNL1|NM_020307
NDUFB5|NM_001199958
NDUFB5|NM_002492
PARL|NM_018622
EIF2B5|NM_003907
AP2M1|NM_001311198
AP2M1|NM_004068
ABCF3|NM_001351300
PSMD2|NM_002808
PSMD2|NM_001278708
EIF4G1|NM_001194947
EIF4G1|NM_001194946
EIF4G1|NM_182917
EIF4G1|NM_004953
POLR2H|NM_001346879
POLR2H|NM_001278700
POLR2H|NM_001278699
POLR2H|NM_001278715
POLR2H|NM_001278698
SENP2|NM_021627
FYTTD1|NM_001011537
FYTTD1|NM_032288
RPL35A|NM_001316311
PIGG|NM_001345994
PIGG|NM_001127178
CTBP1|NM_001377188
CTBP1|NM_001328
CTBP1|NM_001377190
CTBP1|NM_001377189
MAEA|NM_001297431
MAEA|NM_001297432
MAEA|NM_001297433
RNF4|NM_002938
RNF4|NM_001185009
LRPAP1|NM_002337
MRFAP1|NM_033296
TBC1D14|NM_001113361
TBC1D14|NM_020773
TBC1D14|NM_001330638
TBC1D14|NM_001113363
TBC1D14|NM_001286805
WDR1|NM_005112
LAP3|NM_015907
DHX15|NM_001358
OCIAD1|NM_001079840
OCIAD1|NM_017830
OCIAD1|NM_001079842
OCIAD1|NM_001168254
EXOC1|NM_001024924
EXOC1|NM_178237
POLR2B|NM_001303268
POLR2B|NM_000938
SDAD1|NM_018115
SDAD1|NM_001288984
SEC31A|NM_001077207
SEC31A|NM_001191049
SEC31A|NM_001318120
COPS4|NM_001258006
METAP1|NM_015143
ADH5|NM_000671
UBE2D3|NM_001300795
UBE2D3|NM_181892
UBE2D3|NM_181891
UBE2D3|NM_181887
UBE2D3|NM_181888
UBE2D3|NM_181889
UBE2D3|NM_181893
RPL34|NM_001319236
RPL34|NM_001319235
RPL34|NM_001319234
SETD7|NM_001306199
DCTD|NM_001351747
DCTD|NM_001921
SDHA|NM_001294332
SDHA|NM_004168
NDUFS6|NM_004553
CCT5|NM_001306154
CCT5|NM_012073
CCT5|NM_001306155
GOLPH3|NM_022130
SUB1|NM_006713
NDUFS4|NM_002495
MRPS27|NM_015084
TNPO1|NM_002270
TNPO1|NM_001364292
TNPO1|NM_001364293
BTF3|NM_001207
TBCA|NM_004607
TBCA|NM_001297740
RPS23|NM_001025
COX7C|NM_001867
SRP19|NM_001204196
SRP19|NM_003135
REEP5|NM_005669
AP3S1|NM_001318091
AP3S1|NM_001364122
HSD17B4|NM_000414
HINT1|NM_005340
UQCRQ|NM_014402
C5orf15|NM_020199
ETF1|NM_001282185
ETF1|NM_001291975
HSPA9|NM_004134
CTNNA1|NM_001290307
CTNNA1|NM_001323982
CTNNA1|NM_001323983
CTNNA1|NM_001324007
CTNNA1|NM_001323995
UBE2D2|NM_181838
UBE2D2|NM_003339
NDUFA2|NM_002488
NDUFA2|NM_001185012
HDAC3|NM_001355039
HDAC3|NM_001355040
NDFIP1|NM_030571
CSNK1A1|NM_001271742
CSNK1A1|NM_001271741
ANXA6|NM_001193544
ANXA6|NM_001155
LARP1|NM_001367713
LARP1|NM_001367717
LARP1|NM_001367718
LARP1|NM_001367719
CLINT1|NM_001195555
CCNG1|NM_001364020
CCNG1|NM_004060
MAT2B|NM_182796
MAT2B|NM_013283
ATP6V0E1|NM_003945
KIAA1191|NM_020444
KIAA1191|NM_001287336
HIGD2A|NM_138820
DDX41|NM_001321830
TMED9|NM_017510
RUFY1|NM_025158
RUFY1|NM_001040451
CANX|NM_001363994
CANX|NM_001363996
CANX|NM_001364000
CANX|NM_001024649
TBC1D9B|NM_198868
TMEM14B|NM_001127711
TMEM14B|NM_030969
NOL7|NM_001317724
NOL7|NM_016167
FAM8A1|NM_016255
C6orf62|NM_030939
TRIM27|NM_006510
PPP1R11|NM_021959
TRIM26|NM_003449
ABCF1|NM_001025091
DHX16|NM_003587
DHX16|NM_001363515
TUBB|NM_178014
TUBB|NM_001293216
FLOT1|NM_005803
FLOT1|NM_001318875
CSNK2B|NM_001282385
CSNK2B|NM_001320
SKIV2L|NM_006929
AGPAT1|NM_001371439
AGPAT1|NM_006411
AGPAT1|NM_001371437
AGPAT1|NM_001371438
AGPAT1|NM_032741
BRD2|NM_005104
BRD2|NM_001113182
BRD2|NM_001199455
BRD2|NM_001199456
RING1|NM_002931
VPS52|NM_022553
VPS52|NM_001289176
CUTA|NM_001014837
NUDT3|NM_006703
RPS10-NUDT3|NM_001202470
SNRPC|NM_003093
RPL10A|NM_007104
KCTD20|NM_001286580
KCTD20|NM_001286579
MTCH1|NM_001271641
MTCH1|NM_014341
ZFAND3|NM_021943
GLO1|NM_006708
RPL7L1|NM_001366481
PPP2R5D|NM_001270476
KLHDC3|NM_057161
TJAP1|NM_001146016
TJAP1|NM_001350569
TJAP1|NM_001146017
TJAP1|NM_001350568
CDC5L|NM_001253
COX7A2|NM_001366293
COX7A2|NM_001366292
HMGN3|NM_001201363
SNX3|NM_003795
CD164|NM_001346500
CD164|NM_006016
CD164|NM_001142404
TSPYL1|NM_003309
RWDD1|NM_015952
SERINC1|NM_020755
REPS1|NM_001286611
REPS1|NM_001128617
SF3B5|NM_031287
SNX9|NM_016224
DYNLT1|NM_001291603
TCP1|NM_030752
TCP1|NM_001008897
MRPL18|NM_001318817
MRPL18|NM_014161
PSMB1|NM_002793
C7orf50|NM_001350969
C7orf50|NM_001318252
C7orf50|NM_001350968
WIPI2|NM_001033518
WIPI2|NM_001033520
EIF2AK1|NM_014413
EIF2AK1|NM_001134335
TOMM7|NM_019059
TRA2A|NM_001362761
TRA2A|NM_001282758
CBX3|NM_007276
CBX3|NM_016587
TAX1BP1|NM_001206901
TAX1BP1|NM_001206902
PSMA2|NM_002787
DDX56|NM_001257189
CCM2|NM_001167935
CCM2|NM_031443
CCM2|NM_001029835
SEC61G|NM_014302
SEC61G|NM_001012456
CHCHD2|NM_016139
CHCHD2|NM_001320327
TYW1|NM_018264
EIF4H|NM_031992
GTF2I|NM_001280800
GTF2I|NM_001518
ARPC1A|NM_001190996
ARPC1A|NM_006409
CPSF4|NM_001318161
CPSF4|NM_006693
CPSF4|NM_001318162
COPS6|NM_006833
GNB2|NM_005273
PLOD3|NM_001084
FIS1|NM_016068
POLR2J|NM_006234
ARMC10|NM_001161013
ARMC10|NM_031905
PSMC2|NM_001204453
PSMC2|NM_002803
SYPL1|NM_001381911
SYPL1|NM_001381910
ARF5|NM_001662
SND1|NM_014390
ATP6V1F|NM_004231
NDUFB2|NM_004546
GSTK1|NM_001143680
GSTK1|NM_015917
REPIN1|NM_001362746
REPIN1|NM_001099696
REPIN1|NM_001362747
FDFT1|NM_001287742
FDFT1|NM_001287745
FDFT1|NM_004462
FDFT1|NM_001287747
FDFT1|NM_001287748
FDFT1|NM_001287749
FDFT1|NM_001287750
FDFT1|NM_001287751
CNOT7|NM_001322089
CNOT7|NM_001322097
CNOT7|NM_001322100
CNOT7|NM_001322095
CNOT7|NM_001322087
INTS10|NM_001353508
INTS10|NM_018142
PPP2R2A|NM_002717
PPP2R2A|NM_001177591
DCTN6|NM_006571
PPP2CB|NM_001009552
ASH2L|NM_001282272
ASH2L|NM_004674
ASH2L|NM_001105214
GOLGA7|NM_001362979
GOLGA7|NM_016099
GOLGA7|NM_001002296
GOLGA7|NM_001362980
VDAC3|NM_001135694
VDAC3|NM_005662
FNTA|NM_002027
MRPL15|NM_014175
UQCRB|NM_001199975
PTDSS1|NM_001290225
MTDH|NM_001363139
RPL30|NM_000989
ZNF706|NM_016096
ZNF706|NM_001267708
ZNF706|NM_001267709
AZIN1|NM_001301668
AZIN1|NM_001363013
NDUFB9|NM_001278645
NDUFB9|NM_005005
NSMCE2|NM_001349487
NSMCE2|NM_173685
GRINA|NM_001009184
GRINA|NM_000837
CYC1|NM_001916
VPS28|NM_016208
VPS28|NM_183057
RPL8|NM_001317782
RPS6|NM_001010
UBE2R2|NM_017811
DCTN3|NM_001281426
DCTN3|NM_001281425
VCP|NM_001354928
VCP|NM_007126
VCP|NM_001354927
CLTA|NM_001184762
CLTA|NM_007096
GRHPR|NM_012203
FAM120A|NM_014612
FAM120A|NM_001286723
ANP32B|NM_006401
SEC61B|NM_006808
ATP6V1G1|NM_004888
STOM|NM_004099
STOM|NM_001270527
NDUFA8|NM_014222
PSMB7|NM_002799
RPL35|NM_007209
ARPC5L|NM_030978
PPP6C|NM_002721
PPP6C|NM_001123369
RABEPK|NM_005833
URM1|NM_001265582
URM1|NM_030914
SET|NM_001374326
SET|NM_001122821
SET|NM_001248000
SET|NM_003011
SET|NM_001248001
UCK1|NM_031432
UCK1|NM_001318519
SEC16A|NM_014866
SEC16A|NM_001276418
PHPT1|NM_014172
EDF1|NM_001281299
EDF1|NM_153200
SSNA1|NM_003731
ZMYND11|NM_001370103
ZMYND11|NM_001370104
ZMYND11|NM_006624
ZMYND11|NM_001330057
ZMYND11|NM_001370114
ZMYND11|NM_001370121
ZMYND11|NM_001370101
ZMYND11|NM_001370109
ZMYND11|NM_001202468
IDI1|NM_001317957
IDI1|NM_004508
IDI1|NM_001317955
GDI2|NM_001494
GDI2|NM_001115156
RBM17|NM_032905
RBM17|NM_001145547
CDC123|NM_006023
COMMD3-BMI1|NM_001204062
COMMD3|NM_012071
YME1L1|NM_014263
